Date,Papel,Abertura,Alta,Baixa,Fechamento,Volume
2021-11-08,PETR4,15.346161056196825,15.851555981488309,15.29264858563213,15.530482292175293,59704100
2021-11-09,PETR4,15.5780501280348,16.023986664515853,15.5780501280348,15.839665412902832,73021700
2021-11-10,PETR4,15.815882689109014,16.01209471940604,15.554266270687892,15.714803695678711,68176300
2021-11-11,PETR4,15.982365348780412,15.982365348780412,15.601833191499418,15.726696014404297,60848900
2021-11-12,PETR4,15.64345356719952,16.148848541336108,15.459133447482156,16.04776954650879,85962500
2021-11-16,PETR4,16.208306515446186,16.386680673474462,15.833719195881478,16.214252471923828,60978200
2021-11-17,PETR4,16.28560247515605,16.315332258993084,15.750478840917655,15.803991317749023,82106800
2021-11-18,PETR4,15.869393752668627,15.905068354801905,15.48886050497142,15.780206680297852,63993000
2021-11-19,PETR4,15.518589973449705,15.62561491177507,15.32832392046023,15.518589973449707,85893800
2021-11-22,PETR4,15.637505798073967,16.131008801719112,15.631560976192521,15.673181533813477,59195200
2021-11-23,PETR4,15.821828964160222,16.678026313195687,15.756424574719562,16.529380798339844,108382300
2021-11-24,PETR4,16.517490251484666,16.909914325500313,16.356952821003183,16.86829376220703,64263300
2021-11-25,PETR4,17.272608047104406,17.712599760771994,16.98126297956659,17.611520767211914,104052200
2021-11-26,PETR4,16.880183117741307,17.33801154349797,16.689917053550275,16.927749633789062,108871800
2021-11-29,PETR4,17.456929888797536,17.73043709586888,17.129909070776016,17.5223331451416,84672200
2021-11-30,PETR4,17.421252212315743,17.623410183807,17.159636947859553,17.49854850769043,129384600
2021-12-01,PETR4,17.74232992349473,18.235833020263016,17.5282800049674,17.59963035583496,135078600
2021-12-02,PETR4,18.02742886362517,19.02932377006286,17.49976487536845,18.942493438720703,191410300
2021-12-03,PETR4,19.022642567158652,19.329890972657317,18.84898064648117,19.20966339111328,105133000
2021-12-06,PETR4,19.223024010987118,19.550309526652633,19.15623076261196,19.29649543762207,66142300
2021-12-07,PETR4,19.55698779373246,19.750686800909477,19.236380475755567,19.610422134399414,98989300
2021-12-08,PETR4,19.610423959287772,20.084653617590504,19.516912898937363,19.603744506835938,71167700
2021-12-09,PETR4,19.436762155178457,19.69725443276923,19.22970422360567,19.563669204711914,67668200
2021-12-10,PETR4,19.70393368627968,20.104691914355,19.690574781416267,19.804122924804688,38517500
2021-12-13,PETR4,19.81748161028872,20.071294430007388,19.563668790570052,19.683895111083984,45448700
2021-12-14,PETR4,19.777404512807568,19.937707534034992,19.37664632275143,19.450119018554688,56833800
2021-12-15,PETR4,19.436761607978873,19.57034683227539,19.096117183963567,19.57034683227539,55085100
2021-12-16,PETR4,19.78408426777692,20.024538166315182,19.70393211894737,19.830839157104492,56545700
2021-12-17,PETR4,19.583705709451376,19.797443087206464,19.223024202983478,19.36328887939453,93593700
2021-12-20,PETR4,18.995927392499556,19.069398817825675,18.488300497456645,18.80890655517578,106282500
2021-12-21,PETR4,19.06939915312033,19.18294729313926,18.7821903509315,18.83562469482422,40454500
2021-12-22,PETR4,18.969209584035347,18.969209584035347,18.681999512921248,18.80890655517578,33734500
2021-12-23,PETR4,18.922454833984375,18.98256862950087,18.80222724295138,18.922454833984375,28713600
2021-12-27,PETR4,18.915773806863708,19.223022211029996,18.802225677450643,19.202983856201172,44227900
2021-12-28,PETR4,19.376647950621738,19.556989342394107,19.16959002338787,19.223024368286133,30688100
2021-12-29,PETR4,19.169589941783,19.30317516647235,18.98256909844758,19.062721252441406,35508400
2021-12-30,PETR4,19.069399320551955,19.16958983095883,18.9625306318282,19.002607345581055,43229100
2022-01-03,PETR4,19.062721358753425,19.51691265400056,19.056041906385417,19.430082321166992,52704700
2022-01-04,PETR4,19.476837488003337,19.637140525166807,19.309854998377812,19.503555297851562,51739200
2022-01-05,PETR4,19.496872735722434,19.550307072921044,18.661960420759716,18.748790740966797,78459800
2022-01-06,PETR4,18.895739802620962,19.13619372984197,18.595170801125533,18.735435485839844,61163100
2022-01-07,PETR4,18.77551073375153,18.895738324947736,18.58181044260759,18.822265625,47507600
2022-01-10,PETR4,18.69535844194159,18.862340923138614,18.515017056494752,18.708717346191406,37455200
2022-01-11,PETR4,18.768831665149733,19.41672325164476,18.601849179292483,19.263099670410156,73623800
2022-01-12,PETR4,19.33657266580351,19.977784809734576,19.33657266580351,19.85087776184082,81378200
2022-01-13,PETR4,19.72397249081045,20.45869443930366,19.70393413306097,20.251636505126953,76717500
2022-01-14,PETR4,20.22491916191546,21.106586484114267,20.1982013526487,21.006397247314453,96458800
2022-01-17,PETR4,20.97299976603441,21.246850938273713,20.872810530284095,21.039793014526367,35675900
2022-01-18,PETR4,21.079868344876807,21.360398967910207,20.68578958218762,21.133302688598633,78198800
2022-01-19,PETR4,21.306964650777264,21.51402257371082,20.99971749248716,21.033113479614258,77480200
2022-01-20,PETR4,21.039791039489995,21.373755976624757,20.779298796196922,21.186735153198242,85353100
2022-01-21,PETR4,21.086548236034446,21.293606163019813,21.059831700605017,21.220134735107422,61345400
2022-01-24,PETR4,21.166700607838358,21.540741025521935,20.732546392351576,21.340362548828125,79117100
2022-01-25,PETR4,21.173379167938354,22.19531113957442,21.09322701625355,22.035009384155273,98358500
2022-01-26,PETR4,22.242065719503273,22.88995855413331,22.242065719503273,22.622785568237305,98679900
2022-01-27,PETR4,22.876600374106044,23.137092642226705,22.15523481812529,22.629467010498047,90631000
2022-01-28,PETR4,22.576032395279487,22.943393367869195,21.520704371406296,21.73444175720215,117400500
